库大小	库名称							建议

4.63M	libTTWenda.a          			AkFondation自建，去掉发布功能
3.80M	libTTUGCFoundation.a  			干掉
3.54M	libavcodec.a 					保留	
3.45M	libTTUGCFeature.a 				干掉
3.13M	libnet.a 						保留
2.94M	libst_mobile_sim.a 				干掉			
1.94M	libReact.a 						保留		
1.91M	libHTSVideoPlay.a 				保留
1.85M	libIESVideoEditor.a 			干掉
1.39M	libTTAccountSDK.a 				保留
1.08M	libTTComment.a  				保留
1.03M	libTTUIWidget.a 				保留
902.88K	libBDTBasePlayer.a  			保留	
899.12K	libbase.a 						保留
826.72K	libTTVideoService.a 			保留		
817.14K	libFLEX.a  						线上包干掉
808.04K	libPushManager.a 				保留
787.73K	libboringssl.a  				保留
697.37K	JDKeplerSDK						干掉
694.56K	libProtobuf.a 					保留
666.69K	liblibwebp.a 					保留
634.29K	libReactiveObjC.a 				保留		
618.27K	libWeiboSDK.a 					干掉
574.52K	libavformat.a 					保留				
528.05K	libTTPlatformUIModel.a 			保留
515.04K	libTTImagePicker.a  			保留	
508.32K	libTTAccountLogin.a 			保留
491.59K	TencentOpenAPI  				保留		
490.07K	libavfilter.a  					保留
489.74K	libTTMonitor.a 					保留
475.87K	libTTNetworkManager.a  			保留
423.70K	EAccountSDK  					干掉			
423.68K	libWeChatSDK.a 					保留
421.61K	libTTPlayer.a  					保留
395.36K	libTTVideoEngine.a 				保留		
395.08K	libswscale.a  					保留			
385.34K	libTTWebViewBundle.a  			保留
364.15K	libTTAdSplashSDK.a  			保留
361.44K	liblottie-ios.a  				保留
350.05K	libAFNetworking.a  				保留
341.42K	Crashlytics  					保留
323.35K	libBDWebImage.a  				保留
315.52K	libTTPreloaderSDK.a  			保留		
314.67K	AlibabaAuthSDK 					干掉
306.20K	UMMobClick  					保留
301.12K	ExploreMixedListBaseView.o 		保留
299.17K	libproto.a 						保留			
295.23K	libTTAdModule.a 				保留
288.06K	libTTShare.a 					保留
282.58K	TTVideoDetailViewController.o 	保留
282.47K	libBytedancebase.a  			保留
267.76K	libTTBaseLib.a  				保留
259.74K	SSCommonLogic.o  				保留
247.94K	 linker synthesized
243.72K	AMapSearchKit  				 	保留	
229.43K	libTTShareService.a  			保留
226.02K	libCocoaLumberjack.a 			干掉		
223.64K	libIESAntiSpam.a 				保留
220.69K	libAWEVideoPlayer.a  			保留
216.36K	libavutil.a  					保留
213.82K	JDOpenAdsSDK  					干掉
210.46K	TTArticleDetailViewController.o
208.20K	ExploreMovieView.o
202.95K	AlipaySDK 						干掉
202.83K	TTLayOutCellViewBase.o
201.19K	libcronet.a 					保留
200.31K	TTVVideoDetailViewController.o
195.89K	libWDPublisher.a 				干掉
193.62K	libSDWebImage.a 				保留
190.22K	ArticleMomentDetailView.o
183.60K	TTPhotoDetailViewController.o
183.45K	libTTNewsAccountBusiness.a
178.10K	TTVFeedListViewController.o
177.93K	libTTEntityBase.a
177.81K	libprotobuf-lite.a
173.05K	libTTAddressBookService.a
172.22K	libTTPlatformBaseLib.a
170.33K	Fabric
167.21K	libYYWebImage.a
166.60K	libqycommon.a
161.96K	TTEditVideoViewController.o
156.44K	TTVideoTabBaseCellView.o
155.70K	libTTTracker.a
155.17K	TTRecordVideoViewController.o
150.79K	libTTRexxar.a
150.58K	ExploreImageCollectionView.o
148.45K	libTTPushAuthorizationManager.a
148.04K	libTTNetBusiness.a
147.33K	libSSZipArchive.a
146.88K	libqydecoder.a
138.86K	TTVFeedCellMoreActionManager.o
137.62K	TTChatroomMovieView.o
135.65K	libTTThemed.a
135.30K	libYYImage.a
135.28K	TTVVideoDetailToolBarViewController.o
134.10K	libTTPhotoScrollVC.a
133.34K	libTTImage.a
133.30K	libMantle.a
132.62K	TTPersonalHomeViewController.o
132.58K	libBDTArticle.a
131.64K	TTDetailNatantRelateReadView.o
129.67K	TTActivityShareManager.o
128.82K	TTWendaAnswerCellView.o
120.90K	Miaozhen_MobileMonitor_iOS_SDK-Toutiao-4.0.2.a
120.53K	libTTInstallService.a
120.44K	TTHTSWaterfallCollectionView.o
120.26K	libDOUAudioStreamer.a
118.99K	TTArticleTabBarController.o
118.98K	ArticleFetchSettingsManager.o
118.18K	SettingView.o
118.14K	libJSONModel.a
115.88K	TTArticleDetailView.o
112.98K	TTPostUGCEntrance.o
112.25K	TTVideoCommentDetailView.o
109.10K	TTImportVideoViewController.o
107.14K	TTCategorySelectorView.o
105.21K	TTMomentProfileBaseView.o
102.77K	libMasonry.a
101.65K	libMJRefresh.a
100.38K	libTTVideoUploader.a
99.18K	libTTVideo.a
96.28K	libYYCache.a
96.03K	TTDetailNatantVideoInfoView.o
95.40K	libTTTAttributedLabel.a
94.70K	ExploreSearchView.o
94.18K	ArticleShareManager.o
93.56K	libTTDialogDirector.a
92.50K	libTTImpression.a
91.95K	ArticleCategoryManagerView.o
90.93K	TTVideoFloatViewController.o
90.56K	libFMDB.a
90.43K	libswresample.a
